,tema_e_redacao,nota
0,"Tema: ""Invisibilidade e registro civil: garantia de acesso à cidadania no Brasil""

Redacao: Sob a perspectiva de São Tomás de Aquino, todos os indivíduos de uma sociedade democrática possuem os mesmos direitos e deveres. Dessa forma, de maneira análoga ao pensamento do teólogo, nota-se que todas as pessoas têm a mesma importância, além do direito de registro civil e garantia de acesso à cidadania no Brasil. No entanto, apesar da Constituição assegurar esses direitos, a população brasileira ainda enfrenta diversas problemáticas sobre o tema, destacando-se, entre elas, a falta de certidão de nascimento e acesso a benefícios.
Deve-se pontuar, de início, que em 1997, tornou-se gratuito o registro da certidão de nascimento no Brasil. Contudo, apesar da isenção da taxa, a invisibilidade social ainda é uma realidade na vida de milhões de pessoas, pois sem o documento oficial de registro, não há como obter outros documentos, como, por exemplo, a carteira de trabalho e o título de eleitor. Por conseguinte, a garantia de acesso aos direitos e deveres do cidadão fica vedada para algumas pessoas, visto que sua existência na sociedade nunca foi reconhecida oficialmente pelo Estado. Diante disso, fica veementemente evidente que mesmo residindo em uma sociedade democrática, nem todos possuem a mesma importância, além dos mesmos direitos e deveres, como citou São Tomás de Aquino em sua perspectiva. Sendo assim, é imprescindível que medidas plausíveis sejam adotadas para que haja garantia de acesso à cidadania no Brasil.
Somado a isso, mesmo que a Constituição Federal assegure todos os direitos e deveres dos indivíduos, falta acesso a esses benefícios sociais devido a obrigatoriedade da apresentação do documento oficial de registro civil que faz com que muitas pessoas percam o direito de usufruir de direitos básicos, tais como frequentar escolas e hospitais, por não serem reconhecidas como cidadãos dignos de acesso à cidadania no Brasil. Dessa forma, por consequência disso, pessoas têm ficado cada vez mais excluídas do âmbito social por falta de saúde e de estudos, ferindo assim, a Constituição Federal do Brasil. Logo, é inaceitável tamanho descaso e desemelhança social de direitos e deveres.
Portanto, em virtude dos fatos mencionados, é indubitável que medidas devem ser adotadas para que tais problemáticas sejam resolvidas e evitadas. Assim, cabe ao Governo Federal, junto ao Ministério da Cidadania, desenvolver projetos que articule funcionários para identificar pessoas sem registro civil, por meio de visitas domiciliar, com o intuito de regularizar os indivíduos sem certidão de nascimento, a fim de democratizar o acesso à cidadania no Brasil.",920
1,"Tema: ""Democratização do acesso ao cinema no Brasil""

Redacao: Machado de Assis, em sua fase realista, despiu a sociedade brasileira e teceu críticas aos
comportamentos egoístas e superficiais que caracterizam essa nação. Não longe da ficção,
observa-se aspectos semelhantes noque tange a questão da democratização do acesso ao cinema
no Brasil. Nesse contexto, torna-se evidente como causas a má influência midiática e a falta de
denúncia.
Sob esse viés, pode-se apontar como empecilho à consolidação de uma solução a má influência
midiática. Conforme Pierre Bourdieu, o que foi criado para ser um instrumento de democracia não
deve ser convertido em mecanismo de opressão. Nessa perspectiva, o papel da mídia, em vez de
promover debates que elevem o nível de informação da população, influencia na consolidação de
um problema.
Outro ponto relevante nessa temática é a falta de denúncia. Sob essa lógica, o imperativo
categórico, de Kant, preconiza que o indivíduo deve agir apenas segundo a máxima que queira ver
transformada em lei universal. No entanto, no que tange a questão da Democratização do acesso
ao cinema no Brasil, há uma lacuna no dever moral quanto ao exercício da denúncia.
Logo, medidas estratégicas são necessárias para a alteração desse cenário. Para que isso ocorra,
o Ministério da Educação, junto com o Ministério da Cultura, deve promover palestras em escolas,
para alunos do Ensino Médio, por meio de debates com vítimas do problema, bem como
especialistas no assunto. Tais palestras devem ser web conferenciadas nas redes sociais dos
ministérios, com o fim de trazer mais lucidez sobre a Democratização do acesso ao cinema no
Brasil e atingir um público maior. Por fim, a comunidade brasileira deve encarar a diferença com
otimismo, pois, como constatou Hannah Arendt: “A pluralidade é a lei da Terra.”",980
2,"Tema: ""Desafios para o enfrentamento da invisibilidade do trabalho de cuidado realizado pela mulher no Brasil""

Redacao: ""Ninguém respeita a Constituição, mas todos acreditam no futuro da nação."" A banda Legião Urbana no trecho de sua música ""Que país é esse?"" evidencia a distância entre teoria e prática dos direitos constitucionais. Nesse contexto, é imprescindível que a negligência do Estado e a legislação branda agravam a invisibilidade do trabalho de cuidado realizado pelas mulheres no Brasil. Desse modo, cabe a análise dessas causas a fim de fazer valer a Carta Magna.
Diante desse cenário, é importante pontuar que a displicência do poder público deterioriza a desvalorização do serviço de cuidados por mulheres. Nesse viés, o Filósofo Thomas Hobbes versa em seu livro ""Leviatã"" a responsabilidade do Estado em assegurar o progresso da coletividade. No entanto, tal crítica não pode ser associada à realidade brasileira, visto que, a máquina pública não promove políticas públicas eficazes a fim de combater a desvalorização dos trabalhos de cuidados das mulheres, a exemplo de propor denúncias para a sua vulgarização ou implementar legislações que garantam a segurança trabalhista das cuidadoras. Por conseguinte, essa paralisia sofre consequências econômicas pelo salário desvantajoso. Assim, faz-se preciso a promoção de recursos para combater os desvios da problemática.
Além disso, a legislação branda também prejudica e impede. Acerca disso, para o sociólogo brasileiro Florestan o desenvolvimento humano só será plenamente efetivado quando a sociedade ultrapassar alguns pontos cruciais como a legislação sobre o serviço de cuidados, dado que as mulheres trabalham em grande carga horária e sem os devidos benefícios, como as férias remuneradas. Essas servidoras acabam sendo expostas à remuneração insuficiente. Dessa forma, é com urgência que se deve apresentar soluções para lidar com seus deveres.
Destarte, é necessário iniciativas sociais concretas e eficazes para o enfrentamento desses desafios. Portanto, é de cunho do Estado promover políticas públicas com o intuito de tornar as mulheres cuidadoras devidamente valorizadas pela sociedade. Além do mais, o Ministério do Trabalho deve proporcionar legislações as quais fiscalizem e beneficiem essa parentela de mulheres com o objetivo de alcançar um trabalho justo e reconhecido, o qual é essencial para o país. Logo, dessa forma podemos fazer com que a frase da banda Legião Urbana na música ""Que país é esse?"" não seja mais uma realidade no contexto brasileiro.",900
3,"Tema: ""Caminhos para combater a intolerância religiosa no Brasil""

Redacao: O Brasil é um país considerado laico e, por isso, toda a sociedade é favorecida com a liberdade religiosa. No entanto, é importante que a liberdade de expressão entre seres de diferentes crenças seja usufruída com respeito, para que não haja desarmonia religiosa na sociedade.
Em um país repleto de diferentes culturas e crenças, provenientes de todas as partes do mundo, o 'respeito ao próximo' é o principal pilar para evitar tamanha violência que se observa no Brasil. A intolerância religiosa já foi motivo de inúmeras guerras no mundo durante toda a existência humana e é ainda fortemente observada, como na Oriente Médio, por exemplo. No Brasil, apesar de não haver guerras, existe muita violência entre as pessoas, tanto física como moral e estão presentes nas ruas, escolas, na mídia e até em casa.
O fanatismo por um Deus ou deuses, além de afetar todo o universo religioso, pode prejudicar também outras áreas da sociedade, como a política com políticos utilizando do discurso de ódio em debates, por exemplo. Além disso, praticam outros tipos de intolerância, como por exemplo a homofobia, uma vez que o ato homossexual é considerado pecado em algumas religiões. Essa abrangência é responsável por extremada violência e, por isso, é importante que seja controlada.
Após a análise dos fatos acerca das divergências entre as religiões, conclui-se que a intolerância religiosa seja mitigada e, finalmente, extinguida. Para isso, é essencial que as religiões passem a ter falta de diferentes crenças não seja baseada na religião mas sim no ajuda e respeito entre as pessoas. Além disso, é importante que seja ensinado nas reuniões religiosas que não se deve utilizar da violência para se defender uma opinião e é sendo sempre tolerante as pessoas.",680
4,"Tema: ""Invisibilidade e registro civil: garantia de acesso à cidadania no Brasil""

Redacao: Para David Hume, filósofo escocês, a principal característica que difere o ser humano dos outros animais é a capacidade de articular um pensamento, habilidade a qual o permite refletir acerca das circunstâncias, modificando-as. Sob essa ótica, pode-se observar que na conjuntura contemporânea brasileira, devido à falta de suporte governamental, há problemas relacionados à garantia de acesso à cidadania, uma vez que muitos brasileiros não possuem registro civil em seu nascimento, fragilizando até sua invisibilidade social. Desse modo, é evidente a necessidade de buscar soluções para tal problemática.
Sob essa análise, é fulcral salientar a ineficiência legislativa como agravante da impasse, haja vista que, enquanto a Constituição Federal de 1988 assegura o acesso à cidadania como direito fundamental, a invisibilidade praticada pelo não registro de nascimento fere a legislação. Isso ocorre, pois, é necessário não somente a execução da lei em si, mas também viabilizar a efetivação da legislação no cotidiano dos cidadãos, entretanto, verifica-se que, na prática, isso não ocorre. Nesse sentido, constata-se haver um comprometimento governamental pela-se e descumprimento de sua função social como mantenedor do bem-estar social. Dessa forma, evidencia-se, então, que a própria vida pública é um agente que condena a persistência de pessoas sem certidão de nascimento à marginalidade.
Em consequência, tal invisibilidade social cria classes e tipos diversos de cidadãos dentro das pessoas que sofrem com um registro civil oficial. Sob esse aspecto, é licito adentrar o filósofo São Tomás de Aquino, o qual afirma que todos os indivíduos possuem a mesma relevância e igualdade numa verdade democrática, contudo, a questão da carência de documentos de registro civil vai de encontro a visão desse filósofo, visto que algumas pessoas são excluídas devido a essa questão. Assim, a necessidade de registrar formalmente todos os cidadãos é crucial para a garantia total da cidadania.
Portanto, de acordo com os argumentos supricitados, urge a necessidade de resolver essa tensão. Para isso, o Ministério da Cidadania, em parceria com a iniciativa privada e a família, deve promover mobilizações de registro de nascimento e de identidade, nas zonas rurais principalmente, em meio a mutirões que juntem várias famílias, tendo em vista que podem surgir empecilhos a mais quando há pessoas, a fim de garantir o direito a cidadania. Logo, esse é um dos caminhos para que os brasileiros possam ter um incentivo a mais nas questões sociais e amenizar a problemática (portanto, David Hume afirma em outubro).",960
5,"Tema: “O estigma associado às doenças mentais na sociedade brasileira”

Redacao: Nas palavras do filósofo Voltaire 'É absurdo libertar todos dos grilhões que eles amam', mostrando que só nos livraremos de costumes antigos se desejarmos práticas melhores. Entretanto, a sociedade brasileira ainda assiste e presencia tais demonstrações. Pelo fato de vivermos isso, como também a influência das mídias em questões como essa.
Em primeiro lugar, a falta de instrução é um grande empecilho para a resolução de problemas. O democrata norte americano Benjamin Franklin certa vez disse: 'investir em conhecimento sempre gera os melhores juros'. Saber sobre o preconceito que enfrentamos é o começo para acabar com ele. Devemos saber o porquê de tal doença. Além disso, levar em conta o sentimento e a dor das outras pessoas, ajudará o desgastado a enfrentar suas lutas sem ter que ser julgado de outra pessoa, melhor do que estar despreparado de informações.
Em segundo lugar, redes sociais não ajudam muito para a redução. Seja por mostrar vidas perfeitas, uso de estereótipos, pessoas diferentes ou um comentário em publicações, a rede social serve a aumentar e distorcer a realidade. Nisto mais é ruim duas coisas: pessoas perfeitas pelas redes pagam um preço por ser tratar do oprimido. Essas contas há pessoas com problemas sejam psicológicos ou não e isso é difícil de perceber em uma realidade como essa.
Portanto, a particularidade de cada um deve ser respeitada e compreendida. E sociedade deve respeitar e vencer o preconceito, a pessoa com doenças mentais, por meio da educação, a fim de entenderem estes problemas e evitar o uso do julgamento a eles. Só assim é que solucionamos os 'grilhões' mentados dito por Voltaire.",700
6,"Tema: ""Desafios para a valorização de comunidades e povos tradicionais no Brasil""

Redacao: As missões jesuítas, ocorridas logo após a vinda dos portugueses ao Brasil, destacaram, com urgência, a catequização dos povos nativos, a fim de impor a eles crenças e tradições. Trazendo para o cenário atual, povos e comunidades tradicionais enfrentam problemas em relação ao reconhecimento dentro da nação que, por sua vez, são agravados devido à aculturação presente. Em razão da invisibilidade social e da insuficiência legislativa, emerge uma situação que precisa ser revertida.
Com efeito, infere-se que a invisibilidade dentro da sociedade é uma marca latente da questão. Segundo Aldous Huxley, escritor inglês, 'o fato não deixa de existir só porque é silenciado'. Sob essa ótica, aos olhos da população, a valorização dos povos nativos permanece, ainda, com uma lacuna a ser discutida, visto que a desinformação quanto a história e a origem das comunidades existentes, torna o processo de identificação sociocultural enfraquecido, gerando uma exaltação e predominância de culturas estrangeiras. Sendo assim, faz-se imediata a resolução da causa em debate.
Ademais, outro fator indispensável que configura no desafio é a ineficiência das leis. De acordo com Thomas Hobbes, é dever do Estado garantir o bem-estar social aos cidadãos. Todavia, na realidade observa-se um contexto em que a hegemonia prevalece, sobrepondo as diferenças culturais e variações linguísticas. No que tange à lei garantida na Constituição Federal, afirmando que todos são iguais, nota-se que na prática ocorre, com totalidade, o contrário. Dessa forma, a equidade deve ser trabalhada.
Portanto, medidas são necessárias para mudar esse cenário. Em suma, o Governo Federal, em parceria com instituições de ensino, devem promover incentivos fiscais para investir na educação sociocultural, contando com a presença de especialistas no assunto. Tais ações carecem de ser promovidas em dias e horários flexíveis, com materiais que englobem todas as comunidades e povos, com a finalidade de incentivar os estudos acerca de estratos da sociedade ignorados. Ocorrerão, a princípio, em escolas públicas e privadas. Espera-se que, com essas ações, os valores sejam reconhecidos.",920
7,"Tema: “O estigma associado às doenças mentais na sociedade brasileira”

Redacao: O Brasil ainda vive em torno de uma 'visão social', baseada em a sociedade ainda não ser sensibilizada a dar valor a tarefas diárias que se tornam importantes no papel de destacar não somente o trabalho da sociedade. E ter consciência natural em termos de democratização do importante do trabalho de cuidados, conduz a insuficiência material e impede desassistida por parte da população sem condições de cidadania em todas localidades.
Assim se vê bem patente toda falta de interesse sobre o trabalho de cuidados exercido em que por conta de fatores ou descaso social essa atividade é vista como um papel pouco ou sem responsabilidade social da importância no papel ou seu reconhecimento da população em geral, e ainda que uma nova pesquisa das condutas sem garantias, em ser realizado pelo não apoio e sem essa resposta houve alguns estágios bem designados em suas principais para alcançarem direito de cidadania.
Ademais, a posição da cidadania não somente contribui para o que é questionado no serviço de todos baseado a então presente situação de cargas e excesso, a população brasileira é forçada em reconhecimento principal pelo que o principal papel da mulher em questões como da sua carga de ser a vida e pessoa trabalhadora no suporte e direito respeitado por ser um último papel participativo de qualquer finalidade do trabalho de mulher cidadania.
Por fim, surge, em uma parte da população considerada marginalizada, em considerar 'status', e consciência natural da necessidade de respos, enquanto vença ainda brasileira permanece contínua a práticas importantes bem pouco a populares a ela e realocar que algumas dessas faltas de trabalho de que uma boa resolução preside, em não de pessoas bem no sentido dos estados brasileiros que precisam o desafio que as crianças e cidadania do nosso direito no nosso estado, a fim de sensibilizar a igualdade de nosso em assistir que o essencial como a boa conscientização do Brasil.",900
8,"Tema: ""Desafios para a valorização de comunidades e povos tradicionais no Brasil""

Redacao: A Revolução Técnico-Científica do século XX, promoveu uma desconcentração espacial das indústrias de produção. Entretanto, enquanto as sedes das grandes empresas fixam-se nos países desenvolvidos, suas linhas de produção se deslocam para os emergentes. Dessa maneira, os países que possuem comunidades originárias são vítimas da expansão territorial dessas empresas, o que apresenta-se, juntamente com a extensão por da indústria cultural, como desafio para a valorização desses povos.
Em primeiro lugar, vale ressaltar que, conforme o filósofo judeu Theodor Adorno, a cultura submete-se à indústria. Segundo Adorno, as produções da mídia criam ideias de corpos e hábitos para vender algum produto. Desse modo, os costumes dos povos tradicionais, sobretudo do Brasil, são rejeitados por não condizerem com os interesses do mercado. Nesse contexto, essa indústria cultural desvaloriza toda expressão de identidade desses povos, ocasionando a rejeição dessa cultura pela sociedade.
Em seguida, cabe frisar que as expansões industriais invadem o território destes povos. A Revolução Tecnológica que deu início a este movimento de deslocamento das linhas produtoras, favoreceu o continuamento do pensamento de descaso com povos originários, majoritariamente, indígenas e quilombolas. Nesse viés, é evidente a despreocupação dos órgãos governamentais e destas empresas, devido ao processo de industrialização necessária para o desenvolvimento do país.
Portanto, visto os desafios para a valorização de povos e comunidades tradicionais no Brasil, faz-se imprescindível a desconcentração de estratégias e a limitação dos avanços industriais. Isto pode ser feito pelo Ministério das Comunicações que, através de leis e incentivo fiscal, irá proibir a utilização do corpo humano nas publicidades de produtos, deixando assim de idealizar uma forma física. Paralelamente, os órgãos governamentais devem ser incentivados à fiscalizarem, constantemente, as áreas de reservas indígenas para impedir sua invasão. Destarte, estes povos originários passarão a serem enxergados como patrimônio cultural brasileiro e valorizados.",840
9,"Tema: “O estigma associado às doenças mentais na sociedade brasileira”

Redacao: Atualmente, o número de pessoas com saúde mental, desceu drasticamente.
O motivo por tudo disso, é o uso demasiado pela tecnologia estamos agredindo de nossa mente realidade, para fugirmos dos nossos problemas usando a tecnologia.
Hoje em dia, o que mais se vê são pessoas portando estes objetos, demonstrando uma falsa felicidade, quando na verdade a pessoa não está se sentindo bem mentalmente, um ótimo exemplo é o vocalista de Linkin Park, o mesmo estava a sorrir com seu amigos em um bar, tirou foto com eles, demonstrando felicidade, mas no próximo dia ele cometeu suicídio.
Vivemos em um mundo onde as pessoas preferem a troca de mensages, em vez de trocar fala, onde a internet é o seu refúgio e esquece a importância de sairmos com nossos amigos e familiares, priorizamos tirar foto de momentos, ao invés de vivê-los. Devemos nos desligar ao mundo virtual e encarar a dura realidade para sermos mais fortes.
Uma forma de combater isso, seria um aplicativo que desse uma mensagem motivadora todos os dias, ou até mesmo pregar isso na rua, uma simples mensagem, pode mudar vidas.",340
